"정류소번호","정류소명","X좌표","Y좌표"
"01118","KT광화문지사","126.9773193291","37.5724064843"
"01120","광화문","126.9763838838","37.569845398"
"01123","서울역사박물관.경교장.강북삼성병원","126.971248","37.570023"
"01125","광화문","126.975837","37.570365"
"01126","세종문화회관","126.9765652658","37.5726577416"
"01127","서울지방경찰청.경복궁역","126.9714842989","37.5757446636"
"01128","사직단","126.968188961","37.5748553458"
"01129","광화문광화문빌딩","126.9765458935","37.569450752"
"01130","덕성여중고","126.9819692323","37.5757260055"
"01131","안국역.종로경찰서.인사동","126.9840715924","37.5760056461"
"01132","국민은행세검정지점","126.9608880061","37.6046629766"
"01133","세검정초등학교","126.9612198463","37.6025022799"
"01134","세검정.상명대","126.9587223861","37.6007325989"
"01135","상명대입구","126.958570225","37.5994133537"
"01136","하림각","126.9617068235","37.5981330665"
"01137","자하문터널입구.석파정","126.9636434993","37.5955935123"
"01138","부암동주민센터.무계원","126.9639574356","37.5927380599"
"01139","부암동주민센터.무계원","126.9651419211","37.5927861733"
"01140","자하문터널입구.석파정","126.9639775924","37.5955575712"
"01141","하림각","126.962215308","37.5981476478"
"01142","상명대입구.세검정교회","126.9592405649","37.5996163318"
"01143","세검정.상명대","126.9589342697","37.6005524553"
"01144","세검정초등학교","126.9614328894","37.6022680671"
"01146","국민은행세검정지점","126.9612088135","37.6047191923"
"01148","승가사입구","126.9563059978","37.6115844138"
"01149","구기동현대빌라","126.9564575503","37.6100355035"
"01150","구기터널한국고전번역원","126.9562103294","37.6086098941"
"01151","구기터널앞.한국고전번역원","126.9564166508","37.6083054034"
"01152","구기동","126.9585297928","37.6069644475"
"01153","구기동","126.9591017479","37.6070088003"
"01154","승가사입구","126.956482","37.61148"
"01155","갑을씨티텔앞","126.9635350292","37.6043709709"
"01156","평창파출소","126.9660432906","37.6053223656"
"01157","평창동주민센터","126.9695663093","37.6066073749"
"01158","일성아파트","126.9729985215","37.6087663115"
"01159","롯데아파트","126.9764662019","37.6104295575"
"01160","롯데아파트","126.976652","37.610248"
"01161","벽산평창힐스아파트","126.972797","37.60819"
"01162","예능교회","126.97","37.606517"
"01163","서울예술고등학교.평창동주민센터","126.9676276108","37.6057787606"
"01164","화정박물관","126.9648102665","37.6045038178"
"01165","강북삼성병원","126.9686004828","37.568145927"
"01167","독립문역","126.9594644024","37.5732126863"
"01168","서대문.서울시교육청","126.9645273358","37.5682538056"
"01169","서대문역사거리.적십자병원","126.9675878497","37.5671081521"
"01171","독립문","126.9615632709","37.5711733169"
"01172","창덕궁.서울돈화문국악당","126.9886000241","37.5774623333"
"01173","무교동","126.9802681756","37.5692423794"
"01174","청계1가.광교","126.9849267193","37.568684389"
"01175","청계2가.수표교","126.9906741813","37.5684371825"
"01176","청계4가.세운교","126.9964906282","37.5688691218"
"01177","청계5가.광장시장","126.9997973605","37.5694512793"
"01185","종로2가","126.9874612934","37.5692316483"
"01198","원남동","126.9973383362","37.5745325055"
"01199","창덕궁.서울돈화문국악당","126.9878777332","37.5771946373"
"01200","안국역.종로경찰서.인사동","126.9842425956","37.5757849018"
"01201","조계사","126.9832244185","37.5723660209"
"01202","조계사","126.9828258888","37.5724858087"
"01203","안국동","126.9827201116","37.5746105669"
"01204","종로5가.효제동","127.00223","37.5745"
"01205","종로5가.효제초등학교","127.0021442279","37.5728790133"
"01212","종로5가","127.0021826522","37.5705596025"
"01213","청계6가.동대문시장","127.0028494203","37.5698351103"
"01214","동대문","127.0084126252","37.5717262368"
"01215","충신동","127.006278812","37.5740223509"
"01217","충신동","127.0063433807","37.5744602778"
"01218","현대그룹빌딩","127.000533","37.575873"
"01219","통신대(이화장)","127.002437","37.578043"
"01220","혜화역.마로니에공원","127.0022769364","37.5811194873"
"01221","혜화역.서울대병원입구","127.0019395272","37.5810636257"
"01222","통신대(이화장)","127.0019937965","37.5781296741"
"01223","이화동(이화장)","127.0006951494","37.576119355"
"01224","창경궁.서울대학교병원","126.9968717143","37.5788279947"
"01225","이화동(이화장)","127.0032708172","37.5759372914"
"01226","혜화동로타리","127.0007246792","37.5857646257"
"01227","명륜동2가.성균관대입구","126.9993987623","37.5833334862"
"01228","혜화역.서울연극센터(장면총리가옥)","127.0013281701","37.584022814"
"01229","혜화역.동성중고(장면총리가옥)","127.0017176887","37.5845697705"
"01231","창신동두산아파트","127.0155555279","37.5740926792"
"01235","동묘역앞","127.0156014431","37.5716849566"
"01236","동묘역앞","127.0158879092","37.5718984771"
"01238","창신3동주민센터","127.015178","37.578413"
"01239","숭인1동주민센터","127.0155485759","37.5787720457"
"01240","종로구민회관숭인동","127.0158023517","37.5741800523"
"01243","신설동로타리","127.0227802373","37.5759288312"
"01245","동묘앞","127.0178163138","37.5737292199"
"01246","구기동현대빌라","126.956622","37.609682"
"01247","광장시장","126.9977437946","37.5694963125"
"01249","혜화경찰서","126.9974787875","37.5725807445"
"01250","서울역사박물관(경교장)","126.9721318077","37.5699003386"
"01251","청계3가.관수교","126.9937793705","37.5686887917"
"01252","청계6가.버들다리","127.0080377075","37.5699303868"
"01253","청계7가.맑은내다리","127.0129554377","37.5699975315"
"01254","청계8가.영도교","127.0182311268","37.5709465856"
"01256","원남동사거리","126.9968333463","37.5758291633"
"01262","숭인동","127.0204373408","37.5742721533"
"01267","조계사","126.9831609226","37.572800338"
"01272","세종문화회관","126.9763658004","37.5733335205"
"01277","이화동(이화장)","127.002955","37.576257"
"01278","상명대정문","126.9550207178","37.6016197182"
"01279","이북오도청","126.9558882973","37.6130503244"
"01286","상명대입구.세검정교회","126.9597921957","37.5994435122"
"01287","상명대입구","126.9581941404","37.5995718125"
"01288","종로중부새마을금고","127.0065911394","37.5724174899"
"01289","신설동로터리.신한은행앞.서울풍물시장","127.0231182769","37.5743860974"
"01291","청계2가.삼일교","126.9872214307","37.5684458702"
"01292","청계8가.황학교","127.0227870051","37.5721307298"
"01293","평창동삼성아파트","126.978368","37.610967"
"01294","안국역.종로경찰서.인사동","126.9855365486","37.5763329308"
"01295","안국역.종로경찰서.인사동","126.9848289423","37.5763382485"
"01296","창덕궁","126.9890031166","37.5772280879"
"01500","평창동주민센터","126.9668167021","37.605681218"
"01501","삼청공원","126.9816468946","37.5882276807"
"01502","수성동계곡","126.964246771","37.5820791626"
"01503","명륜3가종점","126.9928636796","37.5909483783"
"01504","명륜새마을금고","126.996704891","37.5876532654"
"01505","서대문3번출구","126.9662183105","37.5664160731"
"01506","낙산공원","127.0087215681","37.5804037213"
"01507","세탁소","126.9893670844","37.5814109836"
"01508","평화동물병원","126.9648837454","37.6048011982"
"01509","금융연수원","126.9815691643","37.5865984991"
"01510","한아름슈퍼","126.966603478","37.5809967425"
"01511","샘미용실","126.9932227051","37.5903095275"
"01512","서울국제고등학교","126.9972902593","37.5890715947"
"01513","평화동물병원","126.9652007897","37.6049806084"
"01514","적십자병원후문앞","126.9652272769","37.5675295356"
"01515","서울성곽.성대후문","126.9896320737","37.5892576959"
"01516","빨래터","126.9893714358","37.582659895"
"01517","세검초등학교","126.9614907597","37.6042522792"
"01518","삼청동주민센터","126.9819071619","37.5842638281"
"01519","통인시장","126.9687504304","37.5804530718"
"01520","양현관","126.9936043615","37.5897914226"
"01521","국민생활관","126.9988619666","37.5897456349"
"01522","오거리","126.9622629001","37.6070621164"
"01523","경희궁자이2.3단지","126.9640686009","37.5687871134"
"01524","창신쌍용2단지.한성대후문","127.0127581151","37.5812647965"
"01525","통일부","126.9859476734","37.5875948053"
"01526","원서고개","126.9878088426","37.583080553"
"01527","설악냉면","126.9591855785","37.6069799945"
"01528","종로5가입구","126.997541081","37.571747236"
"01529","삼청파출소","126.9812510491","37.581813662"
"01530","오거리","126.9695411172","37.5794963204"
"01531","명륜시장.성대후문","126.9952543092","37.5885110529"
"01532","혜화초등학교","126.9998516643","37.5872532276"
"01533","청련사입구","126.9624312007","37.6079803769"
"01534","영천시장","126.9628351888","37.5700050081"
"01535","명신초.삼선푸르지오.힐스테이트","127.014556281","37.5821062067"
"01536","감사원","126.9852900569","37.5862106518"
"01537","중앙중고","126.986965299","37.583092177"
"01538","인왕빌딩","126.9577443332","37.6079283311"
"01539","종묘공원","126.9933305456","37.5706349329"
"01540","국립민속박물관","126.9795533717","37.5792551846"
"01541","새마을금고앞","126.9711466491","37.5793687689"
"01542","새마을금고","126.996518051","37.5877370613"
"01543","혜화우체국","127.0006137149","37.5860376565"
"01544","언덕앞","126.9637921715","37.6089539753"
"01545","경희궁자이4단지","126.9621148375","37.5707022242"
"01546","종로센트레빌후문.e편한세상보문아파트","127.0161855253","37.5817743934"
"01547","사우디대사관앞.경남빌라","126.9850311776","37.5841056738"
"01548","안국선원.삼거리","126.984994076","37.5827909789"
"01549","구기터널입구","126.9567768927","37.6082046142"
"01550","종로3가.1.3.5호선","126.9921806628","37.5710729861"
"01551","경복궁","126.9793377561","37.576950157"
"01552","경복궁역","126.9722764647","37.5766774815"
"01553","소나무집","126.964110466","37.6112770717"
"01554","독립문역3번출구","126.9597453483","37.5728784775"
"01555","청룡사.보문파크뷰자이아파트","127.01700714","37.5800189539"
"01556","북촌한옥마을.돈미약국","126.9849422317","37.5815997311"
"01557","마트앞","126.9586668762","37.6069014195"
"01558","창덕궁","126.9906200153","37.5760892484"
"01559","세종문화회관","126.9765789285","37.5724108452"
"01560","혜화역3번출구","127.0019214153","37.5812159103"
"01561","아름다운실버","126.965463701","37.6120100581"
"01562","독립문초등학교","126.9607207234","37.5738474794"
"01563","종로센트레빌아파트","127.0156926979","37.5803534405"
"01564","가회동주민센터","126.9848497239","37.5799390098"
"01565","문방구","126.9579797248","37.6062686142"
"01566","원남로터리","126.997511497","37.5762373738"
"01567","보현산신각","126.9657790521","37.6134825236"
"01568","천사유치원","126.9618603707","37.5746480221"
"01569","쌍용아파트입구.창신역","127.0149635738","37.580511226"
"01570","아름다운가게.정독도서관","126.9850220301","37.5788991733"
"01571","산정빌라","126.9574922002","37.6051519935"
"01572","이화사거리","127.0020107348","37.5764698644"
"01573","혜원사","126.9676873462","37.6143102577"
"01574","무악현대아파트후문","126.962001046","37.5763060751"
"01576","헌법재판소.안국역","126.9856755706","37.5775584314"
"01577","청구빌라","126.9569839726","37.6046102563"
"01578","서울대장례식장","126.9995029662","37.5781188768"
"01579","서울사대초.중교","127.0024794898","37.5775673842"
"01580","화인빌라","126.9685386165","37.6129345305"
"01581","넓은마당","126.9628880463","37.5752728058"
"01582","창신초등학교","127.0153885503","37.5769032044"
"01583","수운회관","126.986517218","37.5751598262"
"01584","상명대후문","126.9573354115","37.6040255786"
"01585","혜화역2번출구","127.002256557","37.5811483226"
"01586","힐탑","126.9690205751","37.6116055569"
"01587","신학대학교총회본부","126.9634445669","37.5739763092"
"01589","낙원상가","126.9872918609","37.5736776169"
"01590","완성빌라","126.9575011241","37.6034020863"
"01591","장례식장","126.9974309648","37.5805553988"
"01592","혜화역1번출구","127.0019407215","37.5834542178"
"01593","파라과이대사관","126.9699479367","37.6124059606"
"01594","한국사회과학자료원","126.9641432573","37.5736332076"
"01595","동묘역","127.0142453819","37.5726943506"
"01596","금강제화","126.9874384317","37.5705445369"
"01597","경진빌라","126.9578303612","37.6020037175"
"01598","성균관대학교앞","126.9993659265","37.5833082555"
"01599","광화문한국통신.KT","126.977317218","37.5719018726"
"01607","임마누엘제4천사의집","126.9707007997","37.6134063548"
"01667","종로문화센터","126.9646261961","37.5746470811"
"01682","동대문역.2번출구","127.0117218002","37.5720494465"
"01683","종각역YMCA","126.9850714936","37.5703393522"
"01684","서교빌라","126.9571553655","37.601989057"
"01685","적선동.경복궁역","126.9724733176","37.5770722054"
"01686","연건동","127.0007449647","37.5761256624"
"01697","성대입구","126.998853007","37.5832668015"
"01698","무애사","126.9718458037","37.6139004282"
"01699","단군성전앞","126.9653175119","37.5755600915"
"01702","동대문종합시장","127.0061400046","37.571176058"
"01714","상명초등학교","126.956715418","37.6009238115"
"01720","법련사","126.9796650539","37.5765879752"
"01721","광화문새마을금고","126.9710277184","37.5794930902"
"01722","성균관대학교","126.9972179386","37.5850311082"
"01723","제1놀이터","126.9741212409","37.6145722576"
"01724","활터앞","126.9653293849","37.5768126115"
"01725","종로5가.3번출구","127.0020898456","37.5714192458"
"01727","인사동입구","126.983296967","37.5719470235"
"01728","정독도서관","126.9802007494","37.580191528"
"01729","오거리","126.9697392663","37.5794684375"
"01732","밀알기도원","126.9757438761","37.6163963984"
"01733","창경궁.고궁호텔.메이플레이스호텔","126.9974492169","37.5765581609"
"01762","광화문","126.9738331615","37.5703260433"
"01763","종로1가","126.9804546746","37.5703561602"
"01764","종로1가","126.9808260992","37.569954334"
"01766","종로2가","126.9855751378","37.5699685262"
"01767","종로3가","126.9899070495","37.5704877661"
"01768","종로3가","126.9909932186","37.5701024255"
"01769","종로4가","126.9968799905","37.5704208133"
"01771","동대문종합시장종로6가","127.0032060634","37.5707920608"
"01776","종로도서관","126.9671251598","37.5764842271"
"01777","경복궁역","126.9715056448","37.5761780936"
"01778","경복궁역","126.971315603","37.5757554359"
"01779","안국역","126.9852772375","37.5765590725"
"01780","안국역","126.9855059829","37.5763185096"
"01781","창덕궁","126.9889000511","37.5774767793"
"01782","성대입구","126.9997033431","37.5835875947"
"01790","종로사우나","126.9877503526","37.5738011149"
"01791","엄마분식","126.9557163281","37.6012424257"
"01792","삼청파출소","126.9813258198","37.58164517"
"01793","통인시장","126.9687504797","37.5803350289"
"01794","종로5가역","127.0000249058","37.570671358"
"01795","사슴목장","126.9770474423","37.6172373713"
"01796","배화여중고","126.9676775367","37.5767673222"
"01797","대학로입구.이화사거리","127.0025801998","37.5759841652"
"01798","운현궁","126.9869813803","37.5752716136"
"01799","상명대입구","126.9569583018","37.6000210109"
"01800","삼청동주민센터","126.9822105151","37.5846846831"
"01801","박노수미술관","126.9668944502","37.5810265604"
"01802","명동의류","126.9783685436","37.616304998"
"01803","사직동주민센터","126.9689039095","37.5762206893"
"01804","충신시장","127.005404874","37.5749766498"
"01805","안국역2번출구앞","126.9861183272","37.5771728174"
"01807","금융연수원","126.981847891","37.5858776706"
"01809","감람산기도원","126.9798729651","37.6159439291"
"01810","카센터.터널앞","126.96585932","37.5741644592"
"01812","재동초등학교","126.9853617134","37.578791085"
"01813","하림각","126.9622528507","37.597810653"
"01814","교육과정평가원","126.9817444742","37.5874185176"
"01815","이화사거리","127.0022812884","37.5753200672"
"01816","연화정사","126.9794938432","37.6146490046"
"01817","대신중고","126.9616893251","37.5726178078"
"01818","동묘역.롯데캐슬","127.0157921305","37.5740286703"
"01819","현대사거리","126.9866353642","37.5792417814"
"01820","교남동주민센터","126.9612800199","37.5721522968"
"01821","부암동주민센터.무계원","126.9637682263","37.5929353403"
"01823","형제봉매표소","126.9816861503","37.6128643152"
"01824","교남동새마을금고","126.962337459","37.5714943551"
"01825","창신초교","127.0157200961","37.5760372123"
"01826","가회동주민센터","126.9851293823","37.5799426497"
"01827","볼링장","126.9879589184","37.5792554401"
"01829","부암슈퍼","126.9638602023","37.5947600723"
"01830","지구촌교회","126.9793481616","37.6130468496"
"01831","월암공원","126.9639860521","37.571188468"
"01832","숭인파출소","127.0155607478","37.5774150014"
"01833","북촌한옥마을.돈미약국","126.9851687446","37.5812807738"
"01835","하림각","126.9629663842","37.5976847268"
"01836","보현빌라","126.9782816235","37.6152615256"
"01837","스위스대사관","126.9658057546","37.569988785"
"01838","창신역.4번출구","127.0155054665","37.5783593519"
"01839","안국선원.삼거리","126.9852205387","37.5827432497"
"01840","세검정교회","126.9594704955","37.5995632468"
"01841","혜화동로터리","127.0010032298","37.5859196111"
"01842","북악휴게실","126.9781122953","37.6132637884"
"01843","서울시교육청","126.9668249505","37.5692429716"
"01844","창신쌍용1단지.종로센트레빌아파트","127.0155692785","37.5803228198"
"01845","사우디대사관","126.9852486243","37.583863308"
"01846","상명대입구","126.9574023475","37.5998544708"
"01847","혜화초등학교","126.9999909413","37.5873892922"
"01848","북악파크","126.9778558349","37.6110083234"
"01849","강북삼성병원","126.9683376852","37.5685315243"
"01850","청룡사.보문파크뷰자이아파트","127.0171508787","37.5797846496"
"01851","감사원","126.9855618026","37.5862656518"
"01852","국민생활관","126.9993137839","37.5896275957"
"01853","귀빈예식장","126.9733337071","37.6089952635"
"01855","종로센트레빌후문.e편한세상보문아파트","127.0162353711","37.5818978359"
"01856","통일부","126.9861073451","37.5875308468"
"01858","서울국제고등학교","126.9971407875","37.5890742944"
"01860","성대후문.와룡공원","126.989734001","37.5891522774"
"01861","상명초등학교","126.9568173576","37.600904926"
"01862","새마을금고","126.9965690016","37.5878406881"
"01863","경진빌라","126.9579482257","37.6018640911"
"01864","명륜시장.성대후문","126.9952305162","37.5887246101"
"01865","완성빌라","126.9576665157","37.6033399708"
"01866","양현관","126.9937685575","37.5897680031"
"01868","상명대후문","126.9574633677","37.6040715802"
"01869","샘미용실","126.9934084203","37.5902545716"
"01870","산정빌라","126.9575782035","37.6052835831"
"01872","문방구","126.9579809335","37.6061334517"
"01873","마트앞","126.958756466","37.6066987064"
"01874","국민은행.세검정지점","126.9607859545","37.6048873133"
"01875","화정박물관","126.965686732","37.604859104"
"01876","혜화역4번출구","127.0014561074","37.5834632357"
"01877","방송통신대앞","127.0019926794","37.5786973612"
"01878","서울대치과대학","126.9978748922","37.5773060748"
"01879","효제초교.연동교회","127.0022087811","37.5736413355"
"01881","성균관대학교","126.9900035953","37.5884638684"
"01882","독립문역","126.9594077577","37.5732838531"
"01883","서울대치과대학","126.9977741191","37.5776016307"
"01886","이화사거리","127.0020084833","37.5769483437"
"01887","서울대학교병원현관","126.9981567653","37.5789514712"
"01888","공평.종각","126.9832427053","37.5715937879"
"01889","조계사","126.9831199261","37.5738654222"
"01890","종로경찰서","126.984082977","37.5757100898"
"01893","인사동.아벤트리호텔","126.983156342","37.5730319178"
"01894","세종문화회관","126.9765653997","37.5722306242"
"02001","남대문세무서.서울백병원","126.9875299251","37.5649848069"
"02002","서울백병원.가톨릭평화방송.국가인권위","126.9878515151","37.5643504711"
"02003","서울역버스환승센터","126.9723557945","37.5550251461"
"02004","서울역버스환승센터","126.9725027692","37.5554748264"
"02005","서울역버스환승센터","126.9727617448","37.5553876977"
"02006","서울역버스환승센터","126.9728547738","37.5554794133"
"02007","서울역버스환승센터","126.9731162301","37.5554839786"
"02008","숭례문","126.9737783904","37.5586388574"
"02101","만리동고개","126.9626582054","37.551787064"
"02102","손기정체육공원입구","126.9662339013","37.5544459527"
"02103","경기여상입구","126.9679392973","37.5565519034"
"02104","서울역서부","126.9693762438","37.5563255909"
"02105","서울역서부","126.9692772863","37.556997907"
"02106","서울역서부","126.9691354395","37.5583836266"
"02107","종근당.충정로역","126.964480544","37.5595131906"
"02108","한국경제신문사","126.967766091","37.5604386551"
"02109","한국경제신문사","126.9681135141","37.5606234736"
"02110","경찰청.동북아역사재단","126.9691267228","37.5630494858"
"02111","써미트호텔","127.0067839769","37.5624042727"
"02113","서대문경찰서.농협은행","126.9677868059","37.5649062803"
"02116","염천교","126.9733602844","37.5598597457"
"02117","숭례문","126.9731028443","37.558086335"
"02118","숭례문.한국일보","126.9737375955","37.5587713091"
"02120","후암삼거리","126.9760823693","37.5533418143"
"02121","숭례문","126.9744042993","37.5587327085"
"02122","숭례문","126.97402","37.558487"
"02123","숭례문","126.973698264","37.557960316"
"02124","남대문시장악세사리전문상가","126.9762051934","37.5586132397"
"02125","숭례문남산방향","126.9756720863","37.5585581643"
"02126","남대문시장","126.9800597585","37.561191081"
"02127","북창동.남대문시장","126.97792","37.561175"
"02128","시청앞","126.9765581213","37.5623244458"
"02131","삼성본관앞","126.9759075283","37.5620517519"
"02132","시청앞","126.9761427477","37.5627627622"
"02133","서소문","126.9748872517","37.5632067407"
"02134","서소문","126.9753398851","37.5636754044"
"02137","서울신문사","126.9773647051","37.5683632936"
"02139","우리은행종로지점","126.9829289124","37.5675190047"
"02140","롯데백화점","126.982205","37.56451"
"02141","해운센터.롯데영프라자","126.9815478394","37.5628907847"
"02142","롯데영프라자","126.982008","37.562885"
"02144","신세계앞","126.981512142","37.5607641991"
"02145","남대문시장.회현역","126.9777650546","37.5582675237"
"02146","남대문시장.회현역","126.9784645011","37.5584920257"
"02147","남산3호터널","126.982669512","37.558455773"
"02148","남산3호터널","126.9827190831","37.5594623018"
"02149","명동입구","126.9852407503","37.5606538896"
"02150","퇴계로2가.명동역","126.9844913623","37.5608934844"
"02151","퇴계로3가.한옥마을.한국의집","126.9917289172","37.5612168046"
"02152","퇴계로3가.한옥마을.한국의집","126.9924839556","37.5608717364"
"02153","충무로역2번출구.대한극장앞","126.9949175906","37.5612232926"
"02154","충무로역8번출구.대한극장앞","126.9965577393","37.5619180947"
"02155","초동","126.9931119513","37.5633461766"
"02156","을지로입구.로얄호텔","126.9853902774","37.5658757422"
"02157","을지로입구.시청입구","126.9811712097","37.5661382638"
"02158","을지로2가.기업은행본점.서울노동청","126.9865233528","37.566246226"
"02159","을지로2가.파인에비뉴","126.9888281722","37.5660094793"
"02160","을지로3가","126.9903755882","37.5663556351"
"02161","을지로3가","126.9913276421","37.5661205237"
"02162","을지로4가","126.9962179152","37.5666470197"
"02163","을지로4가.베스트웨스턴국도","126.9968473297","37.5664010399"
"02164","중구청앞.덕수중학교","126.9981401348","37.5647745951"
"02165","을지로5가","126.999258524","37.5668182855"
"02166","을지로5가.중부시장","127.0011150411","37.5666200422"
"02167","방산시장.훈련원종합체육관","127.0024044565","37.5679608485"
"02168","을지로5가.훈련원종합체육관","127.0025945654","37.5658243542"
"02169","을지로6가.국립중앙의료원","127.006377762","37.5660747142"
"02170","광희동","127.0072096931","37.5650528273"
"02171","광희동","127.0079579375","37.5649951093"
"02172","을지로6가.국립중앙의료원","127.0058434821","37.5664631128"
"02173","동대문역사문화공원","127.0083555318","37.5673541422"
"02174","동대문역사문화공원","127.0090234611","37.5676036956"
"02177","충무아트센터.스포츠센터.중부소방서","127.0140458533","37.5651927824"
"02178","충무아트센터.스포츠센터.중부소방서","127.0147408667","37.5650178857"
"02179","성동공업고등학교(무궁화회관)","127.0157558376","37.5683481924"
"02180","성동공업고등학교앞","127.0161294881","37.5686950625"
"02181","신당역.중앙시장앞","127.0187426545","37.5657282804"
"02182","신당역.중앙시장앞","127.0194795301","37.5654920748"
"02183","성동고등학교","127.022057125","37.5655637088"
"02184","성동고등학교","127.0225482999","37.5651806516"
"02187","신당동떡볶이타운.중구여성플라자","127.0150958594","37.5627660096"
"02188","신당동떡볶이타운.중구여성플라자","127.0151908517","37.5623100443"
"02189","신당동.청구역","127.0132161263","37.5589483023"
"02190","신당동.청구역","127.0130316796","37.559257398"
"02191","약수역2번출구.중구구립도서관","127.0111465614","37.5559812136"
"02192","약수역3번출구.약수하이츠","127.0113796895","37.5557496102"
"02193","약수역4번출구.금호터널입구","127.012012","37.553399"
"02194","약수역5번출구.금호터널입구","127.0118693353","37.55292373"
"02195","약수역8번출구.신당사회복지관","127.0099566945","37.5538646495"
"02196","약수역7번출구.약수동주민센터","127.0092978444","37.5528509718"
"02197","송도병원앞","127.0077186988","37.5502676468"
"10314","창번2교앞","127.034453","37.63859"
"02198","송도병원앞","127.0073984027","37.550227118"
"02199","약수역1번출구","127.0096865168","37.556408461"
"02201","장충체육관앞","127.0077840642","37.5584811178"
"02202","장충체육관앞","127.0078281581","37.5580017329"
"02203","장충동.동국대입구","127.0059098097","37.5606213237"
"02204","장충동.동국대입구","127.0056290943","37.5606663921"
"02205","퇴계로6가","127.0039664281","37.5633219814"
"02206","퇴계로6가","127.0032725375","37.5635049245"
"02207","퇴계로5가.제일병원","126.9999660413","37.5623804057"
"02208","퇴계로5가","126.9998890677","37.5626876784"
"02209","국립극장","127.0003678294","37.5508545113"
"02210","국립극장","127.0009473128","37.5516853176"
"02211","청구역","127.014656108","37.5599600605"
"02212","청구역","127.014219181","37.5599303778"
"02213","동화동","127.0183371082","37.5599370188"
"02214","동화동","127.0182736903","37.5598126778"
"02215","백범광장","126.980093","37.555737"
"02218","남대문경찰서","126.9737449241","37.5540144353"
"02219","남대문시장 앞","126.978580386","37.5609394169"
"02220","남산케이블카.남산산책로입구","126.9839798009","37.5552651842"
"02221","서울애니메이션센터숭의여대","126.9875026883","37.5586203825"
"02222","동대입구역.장충동","127.0053855469","37.5581343304"
"02223","약수역10번출구","127.009322","37.556256"
"02224","청계1가.광교","126.9836249076","37.5684616458"
"02225","청계2가.삼일교","126.9885301722","37.5678404706"
"02226","청계4가.배오개다리","126.9971755363","37.5684843738"
"02227","청계5가.방산시장","127.0006713113","37.5691385986"
"02228","청계6가.평화시장","127.0044818377","37.5693746016"
"02229","청계7가.동평화.청평화시장","127.0138508174","37.5695135434"
"02230","청계8가.영도교","127.018825398","37.5706509342"
"02233","신한은행본점","126.975585201","37.5611965482"
"02235","동대문역사문화공원","127.0091092289","37.5654113309"
"02236","버티고개","127.0060242348","37.5478041512"
"02237","버티고개","127.0058182349","37.5474977891"
"02240","청계3가.세운교","126.9938077118","37.5682058077"
"02241","청계6가.오간수교","127.0090361408","37.5694851752"
"02242","충무로역.매일경제","126.9933464247","37.5616007726"
"02246","을지로입구역.광교","126.9824738253","37.567557685"
"02252","도로교통공단앞","127.0247418084","37.5649390497"
"02253","명동국민은행앞","126.9825866082","37.5645020967"
"02254","남산북측순환로입구","126.9988218165","37.5506986166"
"02255","신당동삼성아파트","127.0187298806","37.5585545048"
